gene	drug.x	efo_terms	interaction_types	max_phase_for_ind	max_phase	eQTL_type	b_3	PPH4_3	b_m3	PPH4_m3	pQTL_3_beta	pQTL_3_SNP.PP.H4	pQTL_m3_beta	pQTL_m3_SNP.PP.H4	evidence_num	note	PMIDs	agingdrug	direction
ADRA2B	mirtazapine	unipolar depression,autism spectrum disorder,cocaine dependence,heroin dependence,fibromyalgia,drug dependence,obstructive sleep apnea,anxiety,Dementia,unipolar depression,Chemotherapy-induced nausea and vomiting,Weight loss,Cachexia,Anorexia,major depressive disorder,depressive disorder,substance abuse,methamphetamine dependence,post operative nausea and vomiting,central nervous system cancer,insomnia,anorexia nervosa,schizophrenia,alcohol dependence	antagonist	4,3,2,3,2,2,1,3,3,4,3,2,3,3,4,4,2,2,0.5,2,4,2,3,2	4	Brain Tissue eQTL	0.392838469412958								1				Y
ADRA2B	moxonidine	hypertension,heart disease,orthostatic hypotension		4,3,0.5	4	Brain Tissue eQTL	0.392838469412958								1				
ADRA2B	norepinephrine	cardiovascular disease,acute lung injury,hypotension,orthostatic hypotension,septic shock,Cognitive impairment,Sepsis,inflammation,Renal insufficiency,Shock,depressive disorder,brain injury,radiodermatitis,obesity,heart disease,congenital heart disease,Ischemic stroke	agonist	4,2,3,1,3,2,3,1,0.5,3,1,2,1,0.5,3,3,0.5	4	Brain Tissue eQTL	0.392838469412958								1				N
ADRA2B	olanzapine	bipolar disorder,eating disorder,gambling behaviour,unipolar depression,Chemotherapy-induced nausea and vomiting,Fish-eye disease,autism,psychosis,post operative nausea and vomiting,anorexia nervosa,mood disorder,body weight gain,anxiety,schizoaffective disorder,drug-Induced dyskinesia,Dementia,Borderline personality disorder,unipolar depression,Weight loss,Nausea and vomiting,Nausea,intellectual disability,developmental disability,treatment resistant depression,Agitation,Vomiting,major depressive disorder,neoplasm,delirium,depressive disorder,bipolar I disorder,female reproductive system neoplasm,testicular carcinoma,opioid use disorder,Anorexia,amyotrophic lateral sclerosis,schizophrenia,alcohol dependence,Huntington disease,hematopoietic and lymphoid cell neoplasm	antagonist	4,3,3,3,3,1,2,4,3,2,1,3,3,4,1,3,3,4,1,3,3,3,3,3,4,2,4,3,2,3,4,3,3,2,3,2,4,3,3,3	4	Brain Tissue eQTL	0.392838469412958								1				Y
ADRA2B	tizanidine	melanoma,pain,Spasticity	agonist	1,2,2	4	Brain Tissue eQTL	0.392838469412958								1				N
ADRA2B	yohimbine	post-traumatic stress disorder,cocaine dependence,orthostatic hypotension,cannabis dependence,orthostatic intolerance,erectile dysfunction,opioid use disorder,type 2 diabetes mellitus,Parkinson disease,alcohol dependence	antagonist	2,2,1,1,1,4,2,2,0.5,2	4	Brain Tissue eQTL	0.392838469412958								1				Y
ADRB1	acebutolol	cardiovascular disease,hemangioma,hypertension,heart disease	partial agonist|antagonist	4,3,2,2	4	Blood eQTL	0.206563484189587	0.996047190412065							2				N
ADRB1	amiodarone	atrial fibrillation,cardiomyopathy,congestive heart failure,heart failure,atrial flutter,cardiac arrhythmia,sudden cardiac arrest,ventricular fibrillation,ventricular tachycardia,Ebola hemorrhagic fever,myocardial infarction,cardiac arrest,Supraventricular tachycardia,Ventricular arrhythmia,coronary artery disease,COVID-19,AL amyloidosis	antagonist|inhibitor|negative modulator	3,3,3,3,3,4,3,3,3,2,3,3,2,4,0.5,2,2	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	anisodamine	septic shock,intestinal disease		1,3	3	Blood eQTL	0.206563484189587	0.996047190412065							2				
ADRB1	arbutamine	cardiovascular disease	agonist	4	4	Blood eQTL	0.206563484189587	0.996047190412065							2				N
ADRB1	atenolol	angina pectoris,hypertension,myocardial infarction,heart disease,cardiovascular disease,hemangioma,atrial fibrillation,post-traumatic stress disorder,heart failure,cerebrovascular disorder,osteoporosis,left ventricular hypertrophy,mitral valve stenosis,Myocardial Ischemia,diabetes mellitus,stroke,coronary atherosclerosis,essential hypertension,Marfan syndrome	antagonist	4,4,4,3,4,3,3,2,3,3,0.5,3,3,3,4,4,4,3,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	betaxolol	cardiovascular disease,glaucoma,open-angle glaucoma,ocular hypertension	antagonist	4,4,3,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	bethanidine	hypertension	antagonist	4	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	bevantolol	cardiovascular disease	antagonist	-1	2	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	bisoprolol	cardiovascular disease,hypertension,Fish-eye disease,hemorrhage,coronary artery disease,breast cancer,idiopathic pulmonary arterial hypertension	antagonist	4,3,1,0.5,0.5,2,1	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	budiodarone	atrial fibrillation		2	2	Blood eQTL	0.206563484189587	0.996047190412065							2				
ADRB1	carteolol	cardiovascular disease,glaucoma	partial agonist	4,4	4	Blood eQTL	0.206563484189587	0.996047190412065							2				N
ADRB1	carvedilol	heart failure,hypertension,pulmonary arterial hypertension,cancer,epilepsy,atrial fibrillation,congestive heart failure,post-traumatic stress disorder,portal hypertension,cardiovascular disease,cocaine dependence,acute myeloid leukemia,lymphoma,multiple myeloma,left ventricular hypertrophy,vascular disease,lymphoid leukemia,myocardial infarction,glioblastoma multiforme,kidney disease,Hypoglycemia,atherosclerosis,Hypercholesterolemia,pulmonary hypertension,breast cancer,prostate cancer,coronary artery disease,esophageal varices,NA,angina pectoris,essential hypertension,type 2 diabetes mellitus	antagonist	4,4,2,2,2,3,4,2,3,4,2,3,2,3,3,1,3,4,0.5,2,2,3,3,2,2,2,3,2,4,1,3,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	celiprolol	cardiovascular disease,Ehlers-Danlos syndrome	antagonist	4,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	desipramine	cancer,post-traumatic stress disorder,cocaine dependence,unipolar depression,obstructive sleep apnea,gastroesophageal reflux disease,erectile dysfunction,Sciatica,major depressive disorder,depressive disorder,alcohol dependence,Rett syndrome	other/unknown	1,3,2,4,2,3,1,2,3,4,3,2	4	Blood eQTL	0.206563484189587	0.996047190412065							2				
ADRB1	digoxin	epilepsy,hepatitis C virus infection,atrial fibrillation,cardiovascular disease,rheumatoid arthritis,heart failure,HIV infection,myelodysplastic syndrome,acute myeloid leukemia,diabetes mellitus,Kaposi's sarcoma,neoplasm,melanoma,cytomegalovirus infection,non-small cell lung carcinoma,breast neoplasm,drug dependence,head and neck malignant neoplasia,Chemotherapy-induced nausea and vomiting,congestive heart failure,pancreatic carcinoma,Supraventricular tachycardia,inflammation,influenza,non-alcoholic steatohepatitis,major depressive disorder,breast cancer,prostate cancer,depressive disorder,actinic keratosis,infection,chronic hepatitis B virus infection,essential hypertension,type 2 diabetes mellitus,von Hippel-Lindau disease,hereditary angioedema		1,1,4,4,2,4,1,1,1,1,2,1,1,1,2,2,1,1,1,4,1,3,1,1,2,1,2,2,1,2,1,1,1,1,1,1	4	Blood eQTL	0.206563484189587	0.996047190412065							2				
ADRB1	dipivefrin	glaucoma		4	4	Blood eQTL	0.206563484189587	0.996047190412065							2				
ADRB1	dobutamine	cardiovascular disease,heart failure,septic shock,acute lung injury,Shock,brain injury,burn	agonist	4,3,2,2,2,2,0.5	4	Blood eQTL	0.206563484189587	0.996047190412065							2				N
ADRB1	dopamine	cardiovascular disease,diabetes mellitus,heart failure,septic shock,Cognitive impairment,Shock,depressive disorder,premature birth,congenital heart disease,Parkinson disease		4,1,2,3,2,3,1,2,3,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				
ADRB1	dronedarone	cardiac arrhythmia,atrial fibrillation,congestive heart failure,atrial flutter	antagonist	4,3,3,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	droxidopa	hypotension,orthostatic hypotension,fibromyalgia,cardiovascular disease,multiple system atrophy,attention deficit hyperactivity disorder,Parkinson disease	agonist	2,4,2,4,4,2,2	4	Blood eQTL	0.206563484189587	0.996047190412065							2				N
ADRB1	epinephrine	Nasal congestion,sudden cardiac arrest,Bronchiolitis,glaucoma,Airway obstruction,hemorrhage,cardiovascular disease,seasonal allergic rhinitis,urticaria,sudden cardiac arrest,angioedema,sinusitis,diabetes mellitus,infection,injury,heart failure,pain,hypospadias,ventricular fibrillation,acute lung injury,ventricular tachycardia,septic shock,pulpitis,rotator cuff tear,Rhinitis, Allergic, Perennial,Cognitive impairment,allergic rhinitis,non-small cell lung carcinoma,cardiac arrest,Gastrointestinal hemorrhage,osteoarthritis, knee,Hemoptysis,Shock,gastric cancer,benign muscle neoplasm,breast cancer,skin neoplasm,appendicitis,parathyroid adenoma,depressive disorder,muscle cramp,type III hypersensitivity reaction disease,Mydriasis,hypotension,male reproductive organ cancer,musculoskeletal system disease,tachypnea,Chronic pain,asthma,asthma,osteoarthritis,allergic disease,anaphylaxis	agonist	4,2,3,4,4,4,4,4,4,4,4,4,0.5,1,2,3,3,2,2,2,2,4,3,2,3,2,4,3,4,3,2,2,2,3,3,2,0.5,2,0.5,0.5,4,4,4,2,3,2,1,1,4,4,3,4,1	4	Blood eQTL	0.206563484189587	0.996047190412065							2				N
ADRB1	esmolol	atrial fibrillation,cardiovascular disease,brain neoplasm,septic shock,sinusitis,Ovarian cyst,pain,brain aneurysm,coronary artery disease,ischemia reperfusion injury	antagonist	2,4,1,3,2,1,2,3,3,1	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	hydrochlorothiazide	hypertension,cardiovascular disease,chronic kidney disease,congestive heart failure,cirrhosis of liver,nephrotic syndrome,metabolic syndrome,preeclampsia,kidney disease,nephrolithiasis,Fish-eye disease,angina pectoris,myocardial infarction,sudden cardiac arrest,diabetes mellitus,atherosclerosis,Hypercholesterolemia,glomerulonephritis,coronary artery disease,preeclampsia,edema,Autosomal dominant polycystic kidney disease,essential hypertension,type 2 diabetes mellitus		4,4,4,4,4,4,0.5,3,2,3,1,4,4,3,1,3,3,4,3,4,4,3,3,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				
ADRB1	indacaterol	Airway obstruction,chronic obstructive pulmonary disease,heart failure,asthma	agonist	4,3,3,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				N
ADRB1	isoetharine	Airway obstruction	agonist	4	4	Blood eQTL	0.206563484189587	0.996047190412065							2				N
ADRB1	labetalol	cardiovascular disease,hypertension,preeclampsia,stroke,cocaine dependence,nicotine dependence,hypotension,intracerebral hemorrhage,sinusitis,pain	antagonist	4,3,3,2,2,2,0.5,2,2,1	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	levobunolol	glaucoma	antagonist	4	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	metipranolol	glaucoma	antagonist	4	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	metoprolol	Beta-thalassemia,cardiovascular disease,atrial fibrillation,hypertension,orthostatic hypotension,heart failure,atopic eczema,neoplasm,psoriasis,malaria,obesity,heart disease,sudden cardiac arrest,ventricular fibrillation,ventricular tachycardia,premature birth,atherosclerosis,Hypercholesterolemia,Ventricular arrhythmia,breast cancer,congestive heart failure,HIV infection,coronary artery disease,ST Elevation Myocardial Infarction,Non-ST Elevation Myocardial Infarction,acute myocardial infarction,myocardial infarction,type 2 diabetes mellitus,Prader-Willi syndrome	antagonist	2,4,3,3,2,3,1,1,1,1,2,2,2,2,2,2,3,3,2,3,3,1,3,3,3,3,3,3,2	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	muraglitazar	diabetes mellitus,Disorder of lipid metabolism,type 2 diabetes mellitus		3,2,3	3	Blood eQTL	0.206563484189587	0.996047190412065							2				
ADRB1	nadolol	cardiovascular disease,smoking cessation,hemangioma,hypertension,myocardial infarction,stroke,angina pectoris,asthma	antagonist	4,2,3,4,4,4,4,2	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	nebivolol	cardiovascular disease,hypertension,osteoporosis,stroke,COVID-19,idiopathic pulmonary fibrosis,essential hypertension,Marfan syndrome	antagonist	4,3,0.5,2,3,1,2,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	norepinephrine	cardiovascular disease,acute lung injury,hypotension,orthostatic hypotension,septic shock,Cognitive impairment,Sepsis,inflammation,Renal insufficiency,Shock,depressive disorder,brain injury,radiodermatitis,obesity,heart disease,congenital heart disease,Ischemic stroke	agonist	4,2,3,1,3,2,3,1,0.5,3,1,2,1,0.5,3,3,0.5	4	Blood eQTL	0.206563484189587	0.996047190412065							2				N
ADRB1	oxprenolol	cardiovascular disease	antagonist	4	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	penbutolol	cardiovascular disease	antagonist|partial agonist	4	4	Blood eQTL	0.206563484189587	0.996047190412065							2				N
ADRB1	pindolol	cardiovascular disease,unipolar depression,major depressive disorder	agonist|partial agonist	4,2,2	4	Blood eQTL	0.206563484189587	0.996047190412065							2				N
ADRB1	practolol	cardiovascular disease	antagonist	4	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	propranolol	hepatocellular carcinoma,cardiovascular disease,chronic obstructive pulmonary disease,hypertension,injury,portal hypertension,renal cell carcinoma,stroke,melanoma,memory impairment,post-traumatic stress disorder,multiple myeloma,cirrhosis of liver,cocaine dependence,kidney disease,autism spectrum disorder,pain,osteoporosis,obstructive sleep apnea,angiosarcoma,colorectal neoplasm,panic disorder,smoking cessation,anxiety,orthostatic hypotension,fibromyalgia,hemangioma,dystocia,retinopathy of prematurity,Ascites,myocardial infarction,pancreatic neoplasm,sudden cardiac arrest,ventricular fibrillation,alcohol drinking,burn,orthostatic intolerance,Myocardial Ischemia,Syncope,Hypoglycemia,Supraventricular tachycardia,Shoulder pain,esophageal varices,Low back pain,gastric cancer,major depressive disorder,papilloma,substance dependence,breast cancer,brain injury,hypotension,Headache,age-related macular degeneration,acute stress reaction,asthma,type 1 diabetes mellitus,migraine disorder,migraine with aura,Marfan syndrome,sickle cell anemia,hereditary hemorrhagic telangiectasia,lymphedema,famililal cerebral cavernous malformations,migraine without aura	antagonist	2,4,1,2,2,3,2,2,2,1,3,2,3,2,1,0.5,2,0.5,2,2,3,2,3,3,2,1,3,2,2,3,3,2,3,3,2,2,1,3,2,0.5,3,2,3,2,2,1,2,2,2,3,2,3,2,2,2,2,3,2,2,2,3,2,1,2	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	salmeterol	Airway obstruction,chronic obstructive pulmonary disease,emphysema,chronic bronchitis,Spinal cord injury,asthma	inverse agonist	4,3,3,3,1,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	sotalol	atrial fibrillation,cardiovascular disease,heart failure,sudden cardiac arrest,ventricular fibrillation,ventricular tachycardia,myocardial infarction	antagonist	3,4,3,3,3,3,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	spironolactone	chronic kidney disease,heart failure,hypertension,pulmonary arterial hypertension,myocardial infarction,diabetic nephropathy,atrial fibrillation,cardiovascular disease,cancer,congestive heart failure,diastolic heart failure,acute myeloid leukemia,leukemia,polycystic ovary syndrome,acne,Hepatic steatosis,Acute kidney injury,nephrotic syndrome,freckles,ST Elevation Myocardial Infarction,non-alcoholic steatohepatitis,Autosomal dominant polycystic kidney disease,Chorioretinitis,diabetes mellitus,lymphoma,precocious puberty,severe acute respiratory syndrome,age-related macular degeneration,intracerebral hemorrhage,Non-ST Elevation Myocardial Infarction,COVID-19,Arrhythmogenic right ventricular dysplasia,preeclampsia,cirrhosis of liver,aortic stenosis,rheumatoid arthritis,essential hypertension,Duchenne muscular dystrophy		3,4,4,2,4,1,3,4,2,4,3,1,1,2,3,2,3,4,1,3,1,3,1,1,2,2,2,2,2,3,2,2,4,4,3,3,3,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				
ADRB1	tertatolol	cardiovascular disease		4	4	Blood eQTL	0.206563484189587	0.996047190412065							2				
ADRB1	timolol	glaucoma,open-angle glaucoma,cardiovascular disease,hemangioma,ocular hypertension,melanoma,wet macular degeneration,injury,varicose ulcer,exfoliation syndrome,migraine disorder,hereditary hemorrhagic telangiectasia	antagonist	4,4,4,2,4,3,2,2,2,3,2,2	4	Blood eQTL	0.206563484189587	0.996047190412065							2				Y
ADRB1	ziprasidone	bipolar disorder,cardiovascular disease,autism,mood disorder,anxiety,psychosis,schizoaffective disorder,social anxiety disorder,Dementia,Borderline personality disorder,opioid dependence,major depressive disorder,drug dependence,depressive disorder,schizophrenia		3,1,2,2,3,4,4,2,3,2,0.5,2,0.5,3,3	4	Blood eQTL	0.206563484189587	0.996047190412065							2				
AHR	clioquinol	chronic lymphocytic leukemia,Hodgkins lymphoma,myelodysplastic syndrome,acute myeloid leukemia,multiple myeloma,Eczema		1,1,1,1,1,3	4	Blood eQTL	0.19688127975739	0.999998200719601							2				
AHR	flavone	breast neoplasm		2	2	Blood eQTL	0.19688127975739	0.999998200719601							2				
AHR	genistein	metabolic syndrome,cancer,prostate adenocarcinoma,pancreatic carcinoma,non-small cell lung carcinoma,osteoporosis,rectum cancer,colorectal carcinoma,urinary bladder cancer,breast cancer,prostate cancer,malignant colon neoplasm,coronary artery disease,pulmonary fibrosis,severe acute respiratory syndrome,urinary bladder carcinoma,cystic fibrosis		2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,1	2	Blood eQTL	0.19688127975739	0.999998200719601							2				
AHR	levothyroxine	diabetes mellitus,pregnancy,Graves disease,hypothyroidism,Disorder of lipid metabolism,bipolar disorder,congenital hypothyroidism		1,0.5,2,3,3,2,3	4	Blood eQTL	0.19688127975739	0.999998200719601							2				
AHR	niclosamide	metastatic prostate cancer,rheumatoid arthritis,colorectal carcinoma,Helminthiasis,malignant colon neoplasm,Familial adenomatous polyposis,COVID-19,acute myeloid leukemia,diabetic nephropathy		2,1,2,4,1,2,3,1,3	4	Blood eQTL	0.19688127975739	0.999998200719601							2				
AHR	nitazoxanide	Crohn's disease,hepatitis C virus infection,Diarrhea,Bronchiolitis,gastroenteritis,HIV infection,chronic hepatitis C virus infection,amebiasis,commensal Clostridium infectious disease,Helicobacter pylori infectious disease,pseudomembranous enterocolitis,chronic hepatitis B virus infection,dyspepsia,malnutrition,respiratory system disease,influenza,Encephalopathy,cryptosporidiosis,periodontitis,severe acute respiratory syndrome,peritonitis,COVID-19,irritable bowel syndrome,rheumatoid arthritis,liver disease,kidney disease,tuberculosis		2,2,4,2,2,1,2,3,3,3,3,2,3,2,3,3,3,3,2,3,3,3,1,3,1,1,2	4	Blood eQTL	0.19688127975739	0.999998200719601							2				
AHR	olanzapine	bipolar disorder,eating disorder,gambling behaviour,unipolar depression,Chemotherapy-induced nausea and vomiting,Fish-eye disease,autism,psychosis,post operative nausea and vomiting,anorexia nervosa,mood disorder,body weight gain,anxiety,schizoaffective disorder,drug-Induced dyskinesia,Dementia,Borderline personality disorder,unipolar depression,Weight loss,Nausea and vomiting,Nausea,intellectual disability,developmental disability,treatment resistant depression,Agitation,Vomiting,major depressive disorder,neoplasm,delirium,depressive disorder,bipolar I disorder,female reproductive system neoplasm,testicular carcinoma,opioid use disorder,Anorexia,amyotrophic lateral sclerosis,schizophrenia,alcohol dependence,Huntington disease,hematopoietic and lymphoid cell neoplasm		4,3,3,3,3,1,2,4,3,2,1,3,3,4,1,3,3,4,1,3,3,3,3,3,4,2,4,3,2,3,4,3,3,2,3,2,4,3,3,3	4	Blood eQTL	0.19688127975739	0.999998200719601							2				
AHR	omeprazole	erectile dysfunction,gastroesophageal reflux disease,hemorrhage,duodenal ulcer,idiopathic pulmonary fibrosis,Peptic ulcer,Barrett's esophagus,glaucoma,injury,infection,Gastrointestinal hemorrhage,breast carcinoma,peptic esophagitis,HIV-1 infection,head and neck squamous cell carcinoma,MALT lymphoma,atopic eczema,cancer,chronic obstructive pulmonary disease,Crohn's disease,diabetes mellitus,lymphoma,neoplasm,psoriasis,rheumatoid arthritis,ulcerative colitis,HIV infection,hepatitis C virus infection,autism spectrum disorder,pain,ankylosing spondylitis,relapsing-remitting multiple sclerosis,chronic hepatitis C virus infection,anemia (phenotype),infectious disease,head and neck malignant neoplasia,cysticercosis,Zollinger-Ellison Syndrome,Helicobacter pylori infectious disease,colorectal carcinoma,Cough,metastatic melanoma,dyspepsia,clostridium difficile infection,gastric ulcer,Chronic pain,central serous retinopathy,Laryngomalacia,gastric cancer,exocrine pancreatic insufficiency,breast cancer,prostate cancer,medullary thyroid gland carcinoma,squamous cell intraepithelial neoplasia,ulcer disease,oral squamous cell carcinoma,spinal muscular atrophy,gastrin-producing neuroendocrine tumor,pancreatic carcinoma,Esophagitis,peptic ulcer disease,NA,chronic hepatitis B virus infection,Granuloma,Alzheimer disease,type 1 diabetes mellitus,type 2 diabetes mellitus,osteoarthritis,cystic fibrosis,mitochondrial disease	agonist	1,4,3,4,2,4,3,1,3,4,3,2,3,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,3,2,3,1,3,1,4,1,1,1,3,3,2,2,1,2,2,2,1,2,0.5,4,4,4,1,2,1,3,1,3,2,1	4	Blood eQTL	0.19688127975739	0.999998200719601							2				N
AHR	piperine	pain,Dysphagia,systemic lupus erythematosus		1,1,2	2	Blood eQTL	0.19688127975739	0.999998200719601							2				
AHR	resveratrol	metabolic syndrome,cardiovascular disease,chronic obstructive pulmonary disease,diabetic nephropathy,dilated cardiomyopathy,infertility,neoplasm,memory impairment,insulin resistance,chronic kidney disease,seasonal allergic rhinitis,peripheral arterial disease,aging,Spastic paraplegia,Hypercholesterolemia,inflammation,colorectal adenocarcinoma,hypertension,non-alcoholic fatty liver disease,rectum cancer,liver cancer,follicular lymphoma,malignant colon neoplasm,severe acute respiratory syndrome,concussion,COVID-19,polycystic ovary syndrome,age-related macular degeneration,Alzheimer disease,schizophrenia,type 1 diabetes mellitus,type 2 diabetes mellitus,osteoarthritis,Parkinson disease,Huntington disease,lymphangioleiomyomatosis,Friedreich ataxia		3,1,3,0.5,3,3,1,1,2,3,3,3,2,2,2,3,1,1,2,1,1,2,1,2,1,2,2,2,2,2,0.5,2,3,1,3,2,2	3	Blood eQTL	0.19688127975739	0.999998200719601							2		ChEMBL	Y	
AHR	romiplostim	hemorrhage,cancer,non-Hodgkins lymphoma,autoimmune thrombocytopenic purpura,Aplastic anemia,myelodysplastic syndrome,lymphoma,Thrombocytopenia,ovarian cancer,thrombocytopenic purpura,carcinoma,thrombotic thrombocytopenic purpura,glioblastoma multiforme,severe aplastic anemia,Wiskott-Aldrich syndrome		4,1,2,4,2,2,1,4,2,1,2,2,2,2,2	4	Blood eQTL	0.19688127975739	0.999998200719601							2				
AHR	thiabendazole	Helminthiasis		4	4	Blood eQTL	0.19688127975739	0.999998200719601							2				
CA4	acetazolamide	glaucoma,kidney disease,Cardiodysrhythmic potassium-sensitive periodic paralysis,altitude sickness,heart failure,pulmonary arterial hypertension,stroke,orthostatic hypotension,cysticercosis,Landau-Kleffner syndrome,normal pressure hydrocephalus,pseudotumor cerebri,Seizure,small cell lung carcinoma,status epilepticus,Chronic pain,Helicobacter pylori infectious disease,Apnea,angle-closure glaucoma,macular retinal edema,hepatocellular carcinoma,obstructive sleep apnea,congestive heart failure,epilepsy,edema,metastatic melanoma,schizophrenia,type 1 diabetes mellitus,multiple sclerosis	inhibitor	4,2,1,4,4,2,2,1,2,2,3,3,4,1,2,2,2,3,4,2,3,2,4,4,4,1,1,1,2	4	Blood eQTL			-0.397272586991887						1				Y
